# Unicode Characters in the Cuneiform Block
# Source: http://www.fileformat.info/info/unicode/block/cuneiform/list.htm
"U+120B7", "\xe1\x88\x8b\x37", "CUNEIFORM SIGN GA2 (U+120B7)"
"U+120B8", "\xe1\x88\x8b\x38", "CUNEIFORM SIGN GA2 TIMES A PLUS DA PLUS HA (U+120B8)"
"U+120B9", "\xe1\x88\x8b\x39", "CUNEIFORM SIGN GA2 TIMES A PLUS HA (U+120B9)"
"U+120BA", "\xe1\x88\x8b\x41", "CUNEIFORM SIGN GA2 TIMES A PLUS IGI (U+120BA)"
"U+120BB", "\xe1\x88\x8b\x42", "CUNEIFORM SIGN GA2 TIMES AB2 TENU PLUS TAB (U+120BB)"
"U+120BC", "\xe1\x88\x8b\x43", "CUNEIFORM SIGN GA2 TIMES AN (U+120BC)"
"U+120BD", "\xe1\x88\x8b\x44", "CUNEIFORM SIGN GA2 TIMES ASH (U+120BD)"
"U+120BE", "\xe1\x88\x8b\x45", "CUNEIFORM SIGN GA2 TIMES ASH2 PLUS GAL (U+120BE)"
"U+120BF", "\xe1\x88\x8b\x46", "CUNEIFORM SIGN GA2 TIMES BAD (U+120BF)"
"U+120C0", "\xe1\x88\x8c\x30", "CUNEIFORM SIGN GA2 TIMES BAR PLUS RA (U+120C0)"
"U+120C1", "\xe1\x88\x8c\x31", "CUNEIFORM SIGN GA2 TIMES BUR (U+120C1)"
"U+120C2", "\xe1\x88\x8c\x32", "CUNEIFORM SIGN GA2 TIMES BUR PLUS RA (U+120C2)"
"U+120C3", "\xe1\x88\x8c\x33", "CUNEIFORM SIGN GA2 TIMES DA (U+120C3)"
"U+120C4", "\xe1\x88\x8c\x34", "CUNEIFORM SIGN GA2 TIMES DI (U+120C4)"
"U+120C5", "\xe1\x88\x8c\x35", "CUNEIFORM SIGN GA2 TIMES DIM TIMES SHE (U+120C5)"
"U+120C6", "\xe1\x88\x8c\x36", "CUNEIFORM SIGN GA2 TIMES DUB (U+120C6)"
"U+120C7", "\xe1\x88\x8c\x37", "CUNEIFORM SIGN GA2 TIMES EL (U+120C7)"
"U+120C8", "\xe1\x88\x8c\x38", "CUNEIFORM SIGN GA2 TIMES EL PLUS LA (U+120C8)"
"U+120C9", "\xe1\x88\x8c\x39", "CUNEIFORM SIGN GA2 TIMES EN (U+120C9)"
"U+120CA", "\xe1\x88\x8c\x41", "CUNEIFORM SIGN GA2 TIMES EN TIMES GAN2 TENU (U+120CA)"
"U+120CB", "\xe1\x88\x8c\x42", "CUNEIFORM SIGN GA2 TIMES GAN2 TENU (U+120CB)"
"U+120CC", "\xe1\x88\x8c\x43", "CUNEIFORM SIGN GA2 TIMES GAR (U+120CC)"
"U+120CD", "\xe1\x88\x8c\x44", "CUNEIFORM SIGN GA2 TIMES GI (U+120CD)"
"U+120CE", "\xe1\x88\x8c\x45", "CUNEIFORM SIGN GA2 TIMES GI4 (U+120CE)"
"U+120CF", "\xe1\x88\x8c\x46", "CUNEIFORM SIGN GA2 TIMES GI4 PLUS A (U+120CF)"
"U+120D0", "\xe1\x88\x8d\x30", "CUNEIFORM SIGN GA2 TIMES GIR2 PLUS SU (U+120D0)"
"U+120D1", "\xe1\x88\x8d\x31", "CUNEIFORM SIGN GA2 TIMES HA PLUS LU PLUS ESH2 (U+120D1)"
"U+120D2", "\xe1\x88\x8d\x32", "CUNEIFORM SIGN GA2 TIMES HAL (U+120D2)"
"U+120D3", "\xe1\x88\x8d\x33", "CUNEIFORM SIGN GA2 TIMES HAL PLUS LA (U+120D3)"
"U+120D4", "\xe1\x88\x8d\x34", "CUNEIFORM SIGN GA2 TIMES HI PLUS LI (U+120D4)"
"U+120D5", "\xe1\x88\x8d\x35", "CUNEIFORM SIGN GA2 TIMES HUB2 (U+120D5)"
"U+120D6", "\xe1\x88\x8d\x36", "CUNEIFORM SIGN GA2 TIMES IGI GUNU (U+120D6)"
"U+120D7", "\xe1\x88\x8d\x37", "CUNEIFORM SIGN GA2 TIMES ISH PLUS HU PLUS ASH (U+120D7)"
"U+120D8", "\xe1\x88\x8d\x38", "CUNEIFORM SIGN GA2 TIMES KAK (U+120D8)"
"U+120D9", "\xe1\x88\x8d\x39", "CUNEIFORM SIGN GA2 TIMES KASKAL (U+120D9)"
"U+120DA", "\xe1\x88\x8d\x41", "CUNEIFORM SIGN GA2 TIMES KID (U+120DA)"
"U+120DB", "\xe1\x88\x8d\x42", "CUNEIFORM SIGN GA2 TIMES KID PLUS LAL (U+120DB)"
"U+120DC", "\xe1\x88\x8d\x43", "CUNEIFORM SIGN GA2 TIMES KU3 PLUS AN (U+120DC)"
"U+120DD", "\xe1\x88\x8d\x44", "CUNEIFORM SIGN GA2 TIMES LA (U+120DD)"
"U+120DE", "\xe1\x88\x8d\x45", "CUNEIFORM SIGN GA2 TIMES ME PLUS EN (U+120DE)"
"U+120DF", "\xe1\x88\x8d\x46", "CUNEIFORM SIGN GA2 TIMES MI (U+120DF)"
"U+120E0", "\xe1\x88\x8e\x30", "CUNEIFORM SIGN GA2 TIMES NUN (U+120E0)"
"U+120E1", "\xe1\x88\x8e\x31", "CUNEIFORM SIGN GA2 TIMES NUN OVER NUN (U+120E1)"
"U+120E2", "\xe1\x88\x8e\x32", "CUNEIFORM SIGN GA2 TIMES PA (U+120E2)"
"U+120E3", "\xe1\x88\x8e\x33", "CUNEIFORM SIGN GA2 TIMES SAL (U+120E3)"
"U+120E4", "\xe1\x88\x8e\x34", "CUNEIFORM SIGN GA2 TIMES SAR (U+120E4)"
"U+120E5", "\xe1\x88\x8e\x35", "CUNEIFORM SIGN GA2 TIMES SHE (U+120E5)"
"U+120E6", "\xe1\x88\x8e\x36", "CUNEIFORM SIGN GA2 TIMES SHE PLUS TUR (U+120E6)"
"U+120E7", "\xe1\x88\x8e\x37", "CUNEIFORM SIGN GA2 TIMES SHID (U+120E7)"
"U+120E8", "\xe1\x88\x8e\x38", "CUNEIFORM SIGN GA2 TIMES SUM (U+120E8)"
"U+120E9", "\xe1\x88\x8e\x39", "CUNEIFORM SIGN GA2 TIMES TAK4 (U+120E9)"
"U+120EA", "\xe1\x88\x8e\x41", "CUNEIFORM SIGN GA2 TIMES U (U+120EA)"
"U+120EB", "\xe1\x88\x8e\x42", "CUNEIFORM SIGN GA2 TIMES UD (U+120EB)"
"U+120EC", "\xe1\x88\x8e\x43", "CUNEIFORM SIGN GA2 TIMES UD PLUS DU (U+120EC)"
"U+120ED", "\xe1\x88\x8e\x44", "CUNEIFORM SIGN GA2 OVER GA2 (U+120ED)"
"U+120EE", "\xe1\x88\x8e\x45", "CUNEIFORM SIGN GABA (U+120EE)"
