# Tifinagh
U+2E1B, \xe2\xb8\x9b, TILDE WITH RING ABOVE
U+2E1C, \xe2\xb8\x9c, LEFT LOW PARAPHRASE BRACKET
U+2E1D, \xe2\xb8\x9d, RIGHT LOW PARAPHRASE BRACKET
U+2E1E, \xe2\xb8\x9e, TILDE WITH DOT ABOVE
U+2E1F, \xe2\xb8\x9f, TILDE WITH DOT BELOW
U+2E20, \xe2\xb8\xa0, LEFT VERTICAL BAR WITH QUILL
U+2E21, \xe2\xb8\xa1, RIGHT VERTICAL BAR WITH QUILL
U+2E22, \xe2\xb8\xa2, TOP LEFT HALF BRACKET
U+2E23, \xe2\xb8\xa3, TOP RIGHT HALF BRACKET
U+2E24, \xe2\xb8\xa4, BOTTOM LEFT HALF BRACKET
U+2E25, \xe2\xb8\xa5, BOTTOM RIGHT HALF BRACKET
U+2E26, \xe2\xb8\xa6, LEFT SIDEWAYS U BRACKET
U+2E27, \xe2\xb8\xa7, RIGHT SIDEWAYS U BRACKET
U+2E28, \xe2\xb8\xa8, LEFT DOUBLE PARENTHESIS
U+2E29, \xe2\xb8\xa9, RIGHT DOUBLE PARENTHESIS
U+2E2A, \xe2\xb8\xaa, TWO DOTS OVER ONE DOT PUNCTUATION
U+2E2B, \xe2\xb8\xab, ONE DOT OVER TWO DOTS PUNCTUATION
U+2E2C, \xe2\xb8\xac, SQUARED FOUR DOT PUNCTUATION
U+2E2D, \xe2\xb8\xad, FIVE DOT MARK
U+2E2E, \xe2\xb8\xae, REVERSED QUESTION MARK
U+2E2F, \xe2\xb8\xaf, VERTICAL TILDE
