# Unicode Characters in the Egyptian Hieroglyphs Block
# Source: http://www.fileformat.info/info/unicode/block/egyptian_hieroglyphs/list.htm
"U+130E4", "\xe1\x8c\x8e\x34", "EGYPTIAN HIEROGLYPH E016A (U+130E4)"
"U+130E5", "\xe1\x8c\x8e\x35", "EGYPTIAN HIEROGLYPH E017 (U+130E5)"
"U+130E6", "\xe1\x8c\x8e\x36", "EGYPTIAN HIEROGLYPH E017A (U+130E6)"
"U+130E7", "\xe1\x8c\x8e\x37", "EGYPTIAN HIEROGLYPH E018 (U+130E7)"
"U+130E8", "\xe1\x8c\x8e\x38", "EGYPTIAN HIEROGLYPH E019 (U+130E8)"
"U+130E9", "\xe1\x8c\x8e\x39", "EGYPTIAN HIEROGLYPH E020 (U+130E9)"
"U+130EA", "\xe1\x8c\x8e\x41", "EGYPTIAN HIEROGLYPH E020A (U+130EA)"
"U+130EB", "\xe1\x8c\x8e\x42", "EGYPTIAN HIEROGLYPH E021 (U+130EB)"
"U+130EC", "\xe1\x8c\x8e\x43", "EGYPTIAN HIEROGLYPH E022 (U+130EC)"
"U+130ED", "\xe1\x8c\x8e\x44", "EGYPTIAN HIEROGLYPH E023 (U+130ED)"
"U+130EE", "\xe1\x8c\x8e\x45", "EGYPTIAN HIEROGLYPH E024 (U+130EE)"
"U+130EF", "\xe1\x8c\x8e\x46", "EGYPTIAN HIEROGLYPH E025 (U+130EF)"
"U+130F0", "\xe1\x8c\x8f\x30", "EGYPTIAN HIEROGLYPH E026 (U+130F0)"
"U+130F1", "\xe1\x8c\x8f\x31", "EGYPTIAN HIEROGLYPH E027 (U+130F1)"
"U+130F2", "\xe1\x8c\x8f\x32", "EGYPTIAN HIEROGLYPH E028 (U+130F2)"
"U+130F3", "\xe1\x8c\x8f\x33", "EGYPTIAN HIEROGLYPH E028A (U+130F3)"
"U+130F4", "\xe1\x8c\x8f\x34", "EGYPTIAN HIEROGLYPH E029 (U+130F4)"
"U+130F5", "\xe1\x8c\x8f\x35", "EGYPTIAN HIEROGLYPH E030 (U+130F5)"
"U+130F6", "\xe1\x8c\x8f\x36", "EGYPTIAN HIEROGLYPH E031 (U+130F6)"
"U+130F7", "\xe1\x8c\x8f\x37", "EGYPTIAN HIEROGLYPH E032 (U+130F7)"
"U+130F8", "\xe1\x8c\x8f\x38", "EGYPTIAN HIEROGLYPH E033 (U+130F8)"
"U+130F9", "\xe1\x8c\x8f\x39", "EGYPTIAN HIEROGLYPH E034 (U+130F9)"
"U+130FA", "\xe1\x8c\x8f\x41", "EGYPTIAN HIEROGLYPH E034A (U+130FA)"
"U+130FB", "\xe1\x8c\x8f\x42", "EGYPTIAN HIEROGLYPH E036 (U+130FB)"
"U+130FC", "\xe1\x8c\x8f\x43", "EGYPTIAN HIEROGLYPH E037 (U+130FC)"
"U+130FD", "\xe1\x8c\x8f\x44", "EGYPTIAN HIEROGLYPH E038 (U+130FD)"
"U+130FE", "\xe1\x8c\x8f\x45", "EGYPTIAN HIEROGLYPH F001 (U+130FE)"
"U+130FF", "\xe1\x8c\x8f\x46", "EGYPTIAN HIEROGLYPH F001A (U+130FF)"
"U+13100", "\xe1\x8c\x90\x30", "EGYPTIAN HIEROGLYPH F002 (U+13100)"
"U+13101", "\xe1\x8c\x90\x31", "EGYPTIAN HIEROGLYPH F003 (U+13101)"
"U+13102", "\xe1\x8c\x90\x32", "EGYPTIAN HIEROGLYPH F004 (U+13102)"
