# Kanbun
U+326C, \xe3\x89\xac, CIRCLED HANGUL PHIEUPH
U+326D, \xe3\x89\xad, CIRCLED HANGUL HIEUH
U+326E, \xe3\x89\xae, CIRCLED HANGUL KIYEOK A
U+326F, \xe3\x89\xaf, CIRCLED HANGUL NIEUN A
U+3270, \xe3\x89\xb0, CIRCLED HANGUL TIKEUT A
U+3271, \xe3\x89\xb1, CIRCLED HANGUL RIEUL A
U+3272, \xe3\x89\xb2, CIRCLED HANGUL MIEUM A
U+3273, \xe3\x89\xb3, CIRCLED HANGUL PIEUP A
U+3274, \xe3\x89\xb4, CIRCLED HANGUL SIOS A
U+3275, \xe3\x89\xb5, CIRCLED HANGUL IEUNG A
U+3276, \xe3\x89\xb6, CIRCLED HANGUL CIEUC A
U+3277, \xe3\x89\xb7, CIRCLED HANGUL CHIEUCH A
U+3278, \xe3\x89\xb8, CIRCLED HANGUL KHIEUKH A
U+3279, \xe3\x89\xb9, CIRCLED HANGUL THIEUTH A
U+327A, \xe3\x89\xba, CIRCLED HANGUL PHIEUPH A
U+327B, \xe3\x89\xbb, CIRCLED HANGUL HIEUH A
U+327C, \xe3\x89\xbc, CIRCLED KOREAN CHARACTER CHAMKO
U+327D, \xe3\x89\xbd, CIRCLED KOREAN CHARACTER JUEUI
U+327E, \xe3\x89\xbe, CIRCLED HANGUL IEUNG U
U+327F, \xe3\x89\xbf, KOREAN STANDARD SYMBOL
U+3280, \xe3\x8a\x80, CIRCLED IDEOGRAPH ONE
U+3281, \xe3\x8a\x81, CIRCLED IDEOGRAPH TWO
U+3282, \xe3\x8a\x82, CIRCLED IDEOGRAPH THREE
U+3283, \xe3\x8a\x83, CIRCLED IDEOGRAPH FOUR
U+3284, \xe3\x8a\x84, CIRCLED IDEOGRAPH FIVE
U+3285, \xe3\x8a\x85, CIRCLED IDEOGRAPH SIX
U+3286, \xe3\x8a\x86, CIRCLED IDEOGRAPH SEVEN
U+3287, \xe3\x8a\x87, CIRCLED IDEOGRAPH EIGHT
U+3288, \xe3\x8a\x88, CIRCLED IDEOGRAPH NINE
U+3289, \xe3\x8a\x89, CIRCLED IDEOGRAPH TEN
U+328A, \xe3\x8a\x8a, CIRCLED IDEOGRAPH MOON
U+328B, \xe3\x8a\x8b, CIRCLED IDEOGRAPH FIRE
U+328C, \xe3\x8a\x8c, CIRCLED IDEOGRAPH WATER
U+328D, \xe3\x8a\x8d, CIRCLED IDEOGRAPH WOOD
U+328E, \xe3\x8a\x8e, CIRCLED IDEOGRAPH METAL
U+328F, \xe3\x8a\x8f, CIRCLED IDEOGRAPH EARTH
