# Unicode Characters in the Miscellaneous Technical Block
# Source: http://www.fileformat.info/info/unicode/block/miscellaneous_technical/list.htm
"U+23B1", "\xe2\x8e\xb1", "UPPER RIGHT OR LOWER LEFT CURLY BRACKET SECTION (U+23B1)"
"U+23B2", "\xe2\x8e\xb2", "SUMMATION TOP (U+23B2)"
"U+23B3", "\xe2\x8e\xb3", "SUMMATION BOTTOM (U+23B3)"
"U+23B4", "\xe2\x8e\xb4", "TOP SQUARE BRACKET (U+23B4)"
"U+23B5", "\xe2\x8e\xb5", "BOTTOM SQUARE BRACKET (U+23B5)"
"U+23B6", "\xe2\x8e\xb6", "BOTTOM SQUARE BRACKET OVER TOP SQUARE BRACKET (U+23B6)"
"U+23B7", "\xe2\x8e\xb7", "RADICAL SYMBOL BOTTOM (U+23B7)"
"U+23B8", "\xe2\x8e\xb8", "LEFT VERTICAL BOX LINE (U+23B8)"
"U+23B9", "\xe2\x8e\xb9", "RIGHT VERTICAL BOX LINE (U+23B9)"
"U+23BA", "\xe2\x8e\xba", "HORIZONTAL SCAN LINE-1 (U+23BA)"
"U+23BB", "\xe2\x8e\xbb", "HORIZONTAL SCAN LINE-3 (U+23BB)"
"U+23BC", "\xe2\x8e\xbc", "HORIZONTAL SCAN LINE-7 (U+23BC)"
"U+23BD", "\xe2\x8e\xbd", "HORIZONTAL SCAN LINE-9 (U+23BD)"
"U+23BE", "\xe2\x8e\xbe", "DENTISTRY SYMBOL LIGHT VERTICAL AND TOP RIGHT (U+23BE)"
"U+23BF", "\xe2\x8e\xbf", "DENTISTRY SYMBOL LIGHT VERTICAL AND BOTTOM RIGHT (U+23BF)"
"U+23C0", "\xe2\x8f\x80", "DENTISTRY SYMBOL LIGHT VERTICAL WITH CIRCLE (U+23C0)"
"U+23C1", "\xe2\x8f\x81", "DENTISTRY SYMBOL LIGHT DOWN AND HORIZONTAL WITH CIRCLE (U+23C1)"
"U+23C2", "\xe2\x8f\x82", "DENTISTRY SYMBOL LIGHT UP AND HORIZONTAL WITH CIRCLE (U+23C2)"
"U+23C3", "\xe2\x8f\x83", "DENTISTRY SYMBOL LIGHT VERTICAL WITH TRIANGLE (U+23C3)"
"U+23C4", "\xe2\x8f\x84", "DENTISTRY SYMBOL LIGHT DOWN AND HORIZONTAL WITH TRIANGLE (U+23C4)"
"U+23C5", "\xe2\x8f\x85", "DENTISTRY SYMBOL LIGHT UP AND HORIZONTAL WITH TRIANGLE (U+23C5)"
"U+23C6", "\xe2\x8f\x86", "DENTISTRY SYMBOL LIGHT VERTICAL AND WAVE (U+23C6)"
"U+23C7", "\xe2\x8f\x87", "DENTISTRY SYMBOL LIGHT DOWN AND HORIZONTAL WITH WAVE (U+23C7)"
"U+23C8", "\xe2\x8f\x88", "DENTISTRY SYMBOL LIGHT UP AND HORIZONTAL WITH WAVE (U+23C8)"
"U+23C9", "\xe2\x8f\x89", "DENTISTRY SYMBOL LIGHT DOWN AND HORIZONTAL (U+23C9)"
"U+23CA", "\xe2\x8f\x8a", "DENTISTRY SYMBOL LIGHT UP AND HORIZONTAL (U+23CA)"
"U+23CB", "\xe2\x8f\x8b", "DENTISTRY SYMBOL LIGHT VERTICAL AND TOP LEFT (U+23CB)"
