# Unicode Characters in the Yi Syllables Block
# Source: http://www.fileformat.info/info/unicode/block/yi_syllables/list.htm
"U+A0C6", "\xea\x83\x86", "YI SYLLABLE MUP (U+A0C6)"
"U+A0C7", "\xea\x83\x87", "YI SYLLABLE MURX (U+A0C7)"
"U+A0C8", "\xea\x83\x88", "YI SYLLABLE MUR (U+A0C8)"
"U+A0C9", "\xea\x83\x89", "YI SYLLABLE MYT (U+A0C9)"
"U+A0CA", "\xea\x83\x8a", "YI SYLLABLE MYX (U+A0CA)"
"U+A0CB", "\xea\x83\x8b", "YI SYLLABLE MY (U+A0CB)"
"U+A0CC", "\xea\x83\x8c", "YI SYLLABLE MYP (U+A0CC)"
"U+A0CD", "\xea\x83\x8d", "YI SYLLABLE FIT (U+A0CD)"
"U+A0CE", "\xea\x83\x8e", "YI SYLLABLE FIX (U+A0CE)"
"U+A0CF", "\xea\x83\x8f", "YI SYLLABLE FI (U+A0CF)"
"U+A0D0", "\xea\x83\x90", "YI SYLLABLE FIP (U+A0D0)"
"U+A0D1", "\xea\x83\x91", "YI SYLLABLE FAT (U+A0D1)"
"U+A0D2", "\xea\x83\x92", "YI SYLLABLE FAX (U+A0D2)"
"U+A0D3", "\xea\x83\x93", "YI SYLLABLE FA (U+A0D3)"
"U+A0D4", "\xea\x83\x94", "YI SYLLABLE FAP (U+A0D4)"
"U+A0D5", "\xea\x83\x95", "YI SYLLABLE FOX (U+A0D5)"
"U+A0D6", "\xea\x83\x96", "YI SYLLABLE FO (U+A0D6)"
"U+A0D7", "\xea\x83\x97", "YI SYLLABLE FOP (U+A0D7)"
"U+A0D8", "\xea\x83\x98", "YI SYLLABLE FUT (U+A0D8)"
"U+A0D9", "\xea\x83\x99", "YI SYLLABLE FUX (U+A0D9)"
"U+A0DA", "\xea\x83\x9a", "YI SYLLABLE FU (U+A0DA)"
"U+A0DB", "\xea\x83\x9b", "YI SYLLABLE FUP (U+A0DB)"
"U+A0DC", "\xea\x83\x9c", "YI SYLLABLE FURX (U+A0DC)"
"U+A0DD", "\xea\x83\x9d", "YI SYLLABLE FUR (U+A0DD)"
"U+A0DE", "\xea\x83\x9e", "YI SYLLABLE FYT (U+A0DE)"
"U+A0DF", "\xea\x83\x9f", "YI SYLLABLE FYX (U+A0DF)"
"U+A0E0", "\xea\x83\xa0", "YI SYLLABLE FY (U+A0E0)"
"U+A0E1", "\xea\x83\xa1", "YI SYLLABLE FYP (U+A0E1)"
"U+A0E2", "\xea\x83\xa2", "YI SYLLABLE VIT (U+A0E2)"
"U+A0E3", "\xea\x83\xa3", "YI SYLLABLE VIX (U+A0E3)"
"U+A0E4", "\xea\x83\xa4", "YI SYLLABLE VI (U+A0E4)"
