# Unicode Characters in the Ethiopic Block
# Source: http://www.fileformat.info/info/unicode/block/ethiopic/list.htm
"U+12FD", "\xe1\x8b\xbd", "ETHIOPIC SYLLABLE DDE (U+12FD)"
"U+12FE", "\xe1\x8b\xbe", "ETHIOPIC SYLLABLE DDO (U+12FE)"
"U+12FF", "\xe1\x8b\xbf", "ETHIOPIC SYLLABLE DDWA (U+12FF)"
"U+1300", "\xe1\x8c\x80", "ETHIOPIC SYLLABLE JA (U+1300)"
"U+1301", "\xe1\x8c\x81", "ETHIOPIC SYLLABLE JU (U+1301)"
"U+1302", "\xe1\x8c\x82", "ETHIOPIC SYLLABLE JI (U+1302)"
"U+1303", "\xe1\x8c\x83", "ETHIOPIC SYLLABLE JAA (U+1303)"
"U+1304", "\xe1\x8c\x84", "ETHIOPIC SYLLABLE JEE (U+1304)"
"U+1305", "\xe1\x8c\x85", "ETHIOPIC SYLLABLE JE (U+1305)"
"U+1306", "\xe1\x8c\x86", "ETHIOPIC SYLLABLE JO (U+1306)"
"U+1307", "\xe1\x8c\x87", "ETHIOPIC SYLLABLE JWA (U+1307)"
"U+1308", "\xe1\x8c\x88", "ETHIOPIC SYLLABLE GA (U+1308)"
"U+1309", "\xe1\x8c\x89", "ETHIOPIC SYLLABLE GU (U+1309)"
"U+130A", "\xe1\x8c\x8a", "ETHIOPIC SYLLABLE GI (U+130A)"
"U+130B", "\xe1\x8c\x8b", "ETHIOPIC SYLLABLE GAA (U+130B)"
"U+130C", "\xe1\x8c\x8c", "ETHIOPIC SYLLABLE GEE (U+130C)"
"U+130D", "\xe1\x8c\x8d", "ETHIOPIC SYLLABLE GE (U+130D)"
"U+130E", "\xe1\x8c\x8e", "ETHIOPIC SYLLABLE GO (U+130E)"
"U+130F", "\xe1\x8c\x8f", "ETHIOPIC SYLLABLE GOA (U+130F)"
"U+1310", "\xe1\x8c\x90", "ETHIOPIC SYLLABLE GWA (U+1310)"
"U+1312", "\xe1\x8c\x92", "ETHIOPIC SYLLABLE GWI (U+1312)"
"U+1313", "\xe1\x8c\x93", "ETHIOPIC SYLLABLE GWAA (U+1313)"
"U+1314", "\xe1\x8c\x94", "ETHIOPIC SYLLABLE GWEE (U+1314)"
"U+1315", "\xe1\x8c\x95", "ETHIOPIC SYLLABLE GWE (U+1315)"
"U+1318", "\xe1\x8c\x98", "ETHIOPIC SYLLABLE GGA (U+1318)"
"U+1319", "\xe1\x8c\x99", "ETHIOPIC SYLLABLE GGU (U+1319)"
"U+131A", "\xe1\x8c\x9a", "ETHIOPIC SYLLABLE GGI (U+131A)"
"U+131B", "\xe1\x8c\x9b", "ETHIOPIC SYLLABLE GGAA (U+131B)"
"U+131C", "\xe1\x8c\x9c", "ETHIOPIC SYLLABLE GGEE (U+131C)"
"U+131D", "\xe1\x8c\x9d", "ETHIOPIC SYLLABLE GGE (U+131D)"
"U+131E", "\xe1\x8c\x9e", "ETHIOPIC SYLLABLE GGO (U+131E)"
"U+131F", "\xe1\x8c\x9f", "ETHIOPIC SYLLABLE GGWAA (U+131F)"
"U+1320", "\xe1\x8c\xa0", "ETHIOPIC SYLLABLE THA (U+1320)"
"U+1321", "\xe1\x8c\xa1", "ETHIOPIC SYLLABLE THU (U+1321)"
"U+1322", "\xe1\x8c\xa2", "ETHIOPIC SYLLABLE THI (U+1322)"
"U+1323", "\xe1\x8c\xa3", "ETHIOPIC SYLLABLE THAA (U+1323)"
"U+1324", "\xe1\x8c\xa4", "ETHIOPIC SYLLABLE THEE (U+1324)"
"U+1325", "\xe1\x8c\xa5", "ETHIOPIC SYLLABLE THE (U+1325)"
"U+1326", "\xe1\x8c\xa6", "ETHIOPIC SYLLABLE THO (U+1326)"
"U+1327", "\xe1\x8c\xa7", "ETHIOPIC SYLLABLE THWA (U+1327)"
"U+1328", "\xe1\x8c\xa8", "ETHIOPIC SYLLABLE CHA (U+1328)"
"U+1329", "\xe1\x8c\xa9", "ETHIOPIC SYLLABLE CHU (U+1329)"
"U+132A", "\xe1\x8c\xaa", "ETHIOPIC SYLLABLE CHI (U+132A)"
"U+132B", "\xe1\x8c\xab", "ETHIOPIC SYLLABLE CHAA (U+132B)"
"U+132C", "\xe1\x8c\xac", "ETHIOPIC SYLLABLE CHEE (U+132C)"
"U+132D", "\xe1\x8c\xad", "ETHIOPIC SYLLABLE CHE (U+132D)"
"U+132E", "\xe1\x8c\xae", "ETHIOPIC SYLLABLE CHO (U+132E)"
"U+132F", "\xe1\x8c\xaf", "ETHIOPIC SYLLABLE CHWA (U+132F)"
"U+1330", "\xe1\x8c\xb0", "ETHIOPIC SYLLABLE PHA (U+1330)"
"U+1331", "\xe1\x8c\xb1", "ETHIOPIC SYLLABLE PHU (U+1331)"
"U+1332", "\xe1\x8c\xb2", "ETHIOPIC SYLLABLE PHI (U+1332)"
"U+1333", "\xe1\x8c\xb3", "ETHIOPIC SYLLABLE PHAA (U+1333)"
"U+1334", "\xe1\x8c\xb4", "ETHIOPIC SYLLABLE PHEE (U+1334)"
"U+1335", "\xe1\x8c\xb5", "ETHIOPIC SYLLABLE PHE (U+1335)"
"U+1336", "\xe1\x8c\xb6", "ETHIOPIC SYLLABLE PHO (U+1336)"
"U+1337", "\xe1\x8c\xb7", "ETHIOPIC SYLLABLE PHWA (U+1337)"
"U+1338", "\xe1\x8c\xb8", "ETHIOPIC SYLLABLE TSA (U+1338)"
