# Unicode Characters in the Braille Patterns Block
# Source: http://www.fileformat.info/info/unicode/block/braille_patterns/list.htm
"U+28A3", "\xe2\xa2\xa3", "BRAILLE PATTERN DOTS-1268 (U+28A3)"
"U+28A4", "\xe2\xa2\xa4", "BRAILLE PATTERN DOTS-368 (U+28A4)"
"U+28A5", "\xe2\xa2\xa5", "BRAILLE PATTERN DOTS-1368 (U+28A5)"
"U+28A6", "\xe2\xa2\xa6", "BRAILLE PATTERN DOTS-2368 (U+28A6)"
"U+28A7", "\xe2\xa2\xa7", "BRAILLE PATTERN DOTS-12368 (U+28A7)"
"U+28A8", "\xe2\xa2\xa8", "BRAILLE PATTERN DOTS-468 (U+28A8)"
"U+28A9", "\xe2\xa2\xa9", "BRAILLE PATTERN DOTS-1468 (U+28A9)"
"U+28AA", "\xe2\xa2\xaa", "BRAILLE PATTERN DOTS-2468 (U+28AA)"
"U+28AB", "\xe2\xa2\xab", "BRAILLE PATTERN DOTS-12468 (U+28AB)"
"U+28AC", "\xe2\xa2\xac", "BRAILLE PATTERN DOTS-3468 (U+28AC)"
"U+28AD", "\xe2\xa2\xad", "BRAILLE PATTERN DOTS-13468 (U+28AD)"
"U+28AE", "\xe2\xa2\xae", "BRAILLE PATTERN DOTS-23468 (U+28AE)"
"U+28AF", "\xe2\xa2\xaf", "BRAILLE PATTERN DOTS-123468 (U+28AF)"
"U+28B0", "\xe2\xa2\xb0", "BRAILLE PATTERN DOTS-568 (U+28B0)"
"U+28B1", "\xe2\xa2\xb1", "BRAILLE PATTERN DOTS-1568 (U+28B1)"
"U+28B2", "\xe2\xa2\xb2", "BRAILLE PATTERN DOTS-2568 (U+28B2)"
"U+28B3", "\xe2\xa2\xb3", "BRAILLE PATTERN DOTS-12568 (U+28B3)"
"U+28B4", "\xe2\xa2\xb4", "BRAILLE PATTERN DOTS-3568 (U+28B4)"
"U+28B5", "\xe2\xa2\xb5", "BRAILLE PATTERN DOTS-13568 (U+28B5)"
"U+28B6", "\xe2\xa2\xb6", "BRAILLE PATTERN DOTS-23568 (U+28B6)"
"U+28B7", "\xe2\xa2\xb7", "BRAILLE PATTERN DOTS-123568 (U+28B7)"
"U+28B8", "\xe2\xa2\xb8", "BRAILLE PATTERN DOTS-4568 (U+28B8)"
