# Balinese
U+1B7A, \xe1\xad\xba, BALINESE MUSICAL SYMBOL LEFT-HAND CLOSED PLAK
U+1B7B, \xe1\xad\xbb, BALINESE MUSICAL SYMBOL LEFT-HAND CLOSED PLUK
U+1B7C, \xe1\xad\xbc, BALINESE MUSICAL SYMBOL LEFT-HAND OPEN PING
U+1B80, \xe1\xae\x80, SUNDANESE SIGN PANYECEK
U+1B81, \xe1\xae\x81, SUNDANESE SIGN PANGLAYAR
U+1B82, \xe1\xae\x82, SUNDANESE SIGN PANGWISAD
U+1B83, \xe1\xae\x83, SUNDANESE LETTER A
U+1B84, \xe1\xae\x84, SUNDANESE LETTER I
U+1B85, \xe1\xae\x85, SUNDANESE LETTER U
U+1B86, \xe1\xae\x86, SUNDANESE LETTER AE
U+1B87, \xe1\xae\x87, SUNDANESE LETTER O
U+1B88, \xe1\xae\x88, SUNDANESE LETTER E
U+1B89, \xe1\xae\x89, SUNDANESE LETTER EU
U+1B8A, \xe1\xae\x8a, SUNDANESE LETTER KA
U+1B8B, \xe1\xae\x8b, SUNDANESE LETTER QA
U+1B8C, \xe1\xae\x8c, SUNDANESE LETTER GA
U+1B8D, \xe1\xae\x8d, SUNDANESE LETTER NGA
U+1B8E, \xe1\xae\x8e, SUNDANESE LETTER CA
U+1B8F, \xe1\xae\x8f, SUNDANESE LETTER JA
U+1B90, \xe1\xae\x90, SUNDANESE LETTER ZA
U+1B91, \xe1\xae\x91, SUNDANESE LETTER NYA
U+1B92, \xe1\xae\x92, SUNDANESE LETTER TA
U+1B93, \xe1\xae\x93, SUNDANESE LETTER DA
U+1B94, \xe1\xae\x94, SUNDANESE LETTER NA
U+1B95, \xe1\xae\x95, SUNDANESE LETTER PA
U+1B96, \xe1\xae\x96, SUNDANESE LETTER FA
U+1B97, \xe1\xae\x97, SUNDANESE LETTER VA
U+1B98, \xe1\xae\x98, SUNDANESE LETTER BA
U+1B99, \xe1\xae\x99, SUNDANESE LETTER MA
U+1B9A, \xe1\xae\x9a, SUNDANESE LETTER YA
U+1B9B, \xe1\xae\x9b, SUNDANESE LETTER RA
U+1B9C, \xe1\xae\x9c, SUNDANESE LETTER LA
U+1B9D, \xe1\xae\x9d, SUNDANESE LETTER WA
U+1B9E, \xe1\xae\x9e, SUNDANESE LETTER SA
U+1B9F, \xe1\xae\x9f, SUNDANESE LETTER XA
U+1BA0, \xe1\xae\xa0, SUNDANESE LETTER HA
U+1BA1, \xe1\xae\xa1, SUNDANESE CONSONANT SIGN PAMINGKAL
U+1BA2, \xe1\xae\xa2, SUNDANESE CONSONANT SIGN PANYAKRA
U+1BA3, \xe1\xae\xa3, SUNDANESE CONSONANT SIGN PANYIKU
U+1BA4, \xe1\xae\xa4, SUNDANESE VOWEL SIGN PANGHULU
U+1BA5, \xe1\xae\xa5, SUNDANESE VOWEL SIGN PANYUKU
U+1BA6, \xe1\xae\xa6, SUNDANESE VOWEL SIGN PANAELAENG
U+1BA7, \xe1\xae\xa7, SUNDANESE VOWEL SIGN PANOLONG
U+1BA8, \xe1\xae\xa8, SUNDANESE VOWEL SIGN PAMEPET
U+1BA9, \xe1\xae\xa9, SUNDANESE VOWEL SIGN PANEULEUNG
U+1BAA, \xe1\xae\xaa, SUNDANESE SIGN PAMAAEH
U+1BAE, \xe1\xae\xae, SUNDANESE LETTER KHA
U+1BAF, \xe1\xae\xaf, SUNDANESE LETTER SYA
U+1BB0, \xe1\xae\xb0, SUNDANESE DIGIT ZERO
U+1BB1, \xe1\xae\xb1, SUNDANESE DIGIT ONE
U+1BB2, \xe1\xae\xb2, SUNDANESE DIGIT TWO
U+1BB3, \xe1\xae\xb3, SUNDANESE DIGIT THREE
U+1BB4, \xe1\xae\xb4, SUNDANESE DIGIT FOUR
U+1BB5, \xe1\xae\xb5, SUNDANESE DIGIT FIVE
U+1BB6, \xe1\xae\xb6, SUNDANESE DIGIT SIX
U+1BB7, \xe1\xae\xb7, SUNDANESE DIGIT SEVEN
U+1BB8, \xe1\xae\xb8, SUNDANESE DIGIT EIGHT
U+1BB9, \xe1\xae\xb9, SUNDANESE DIGIT NINE
U+1BC0, \xe1\xaf\x80, BATAK LETTER A
U+1BC1, \xe1\xaf\x81, BATAK LETTER SIMALUNGUN A
U+1BC2, \xe1\xaf\x82, BATAK LETTER HA
U+1BC3, \xe1\xaf\x83, BATAK LETTER SIMALUNGUN HA
U+1BC4, \xe1\xaf\x84, BATAK LETTER MANDAILING HA
U+1BC5, \xe1\xaf\x85, BATAK LETTER BA
U+1BC6, \xe1\xaf\x86, BATAK LETTER KARO BA
U+1BC7, \xe1\xaf\x87, BATAK LETTER PA
U+1BC8, \xe1\xaf\x88, BATAK LETTER SIMALUNGUN PA
U+1BC9, \xe1\xaf\x89, BATAK LETTER NA
U+1BCA, \xe1\xaf\x8a, BATAK LETTER MANDAILING NA
U+1BCB, \xe1\xaf\x8b, BATAK LETTER WA
U+1BCC, \xe1\xaf\x8c, BATAK LETTER SIMALUNGUN WA
U+1BCD, \xe1\xaf\x8d, BATAK LETTER PAKPAK WA
U+1BCE, \xe1\xaf\x8e, BATAK LETTER GA
U+1BCF, \xe1\xaf\x8f, BATAK LETTER SIMALUNGUN GA
U+1BD0, \xe1\xaf\x90, BATAK LETTER JA
U+1BD1, \xe1\xaf\x91, BATAK LETTER DA
U+1BD2, \xe1\xaf\x92, BATAK LETTER RA
U+1BD3, \xe1\xaf\x93, BATAK LETTER SIMALUNGUN RA
U+1BD4, \xe1\xaf\x94, BATAK LETTER MA
U+1BD5, \xe1\xaf\x95, BATAK LETTER SIMALUNGUN MA
U+1BD6, \xe1\xaf\x96, BATAK LETTER SOUTHERN TA
U+1BD7, \xe1\xaf\x97, BATAK LETTER NORTHERN TA
U+1BD8, \xe1\xaf\x98, BATAK LETTER SA
U+1BD9, \xe1\xaf\x99, BATAK LETTER SIMALUNGUN SA
U+1BDA, \xe1\xaf\x9a, BATAK LETTER MANDAILING SA
U+1BDB, \xe1\xaf\x9b, BATAK LETTER YA
U+1BDC, \xe1\xaf\x9c, BATAK LETTER SIMALUNGUN YA
U+1BDD, \xe1\xaf\x9d, BATAK LETTER NGA
U+1BDE, \xe1\xaf\x9e, BATAK LETTER LA
U+1BDF, \xe1\xaf\x9f, BATAK LETTER SIMALUNGUN LA
U+1BE0, \xe1\xaf\xa0, BATAK LETTER NYA
U+1BE1, \xe1\xaf\xa1, BATAK LETTER CA
U+1BE2, \xe1\xaf\xa2, BATAK LETTER NDA
U+1BE3, \xe1\xaf\xa3, BATAK LETTER MBA
U+1BE4, \xe1\xaf\xa4, BATAK LETTER I
U+1BE5, \xe1\xaf\xa5, BATAK LETTER U
U+1BE6, \xe1\xaf\xa6, BATAK SIGN TOMPI
U+1BE7, \xe1\xaf\xa7, BATAK VOWEL SIGN E
U+1BE8, \xe1\xaf\xa8, BATAK VOWEL SIGN PAKPAK E
U+1BE9, \xe1\xaf\xa9, BATAK VOWEL SIGN EE
U+1BEA, \xe1\xaf\xaa, BATAK VOWEL SIGN I
U+1BEB, \xe1\xaf\xab, BATAK VOWEL SIGN KARO I
U+1BEC, \xe1\xaf\xac, BATAK VOWEL SIGN O
U+1BED, \xe1\xaf\xad, BATAK VOWEL SIGN KARO O
U+1BEE, \xe1\xaf\xae, BATAK VOWEL SIGN U
U+1BEF, \xe1\xaf\xaf, BATAK VOWEL SIGN U FOR SIMALUNGUN SA
U+1BF0, \xe1\xaf\xb0, BATAK CONSONANT SIGN NG
U+1BF1, \xe1\xaf\xb1, BATAK CONSONANT SIGN H
U+1BF2, \xe1\xaf\xb2, BATAK PANGOLAT
U+1BF3, \xe1\xaf\xb3, BATAK PANONGONAN
U+1BFC, \xe1\xaf\xbc, BATAK SYMBOL BINDU NA METEK
U+1BFD, \xe1\xaf\xbd, BATAK SYMBOL BINDU PINARBORAS
U+1BFE, \xe1\xaf\xbe, BATAK SYMBOL BINDU JUDUL
U+1BFF, \xe1\xaf\xbf, BATAK SYMBOL BINDU PANGOLAT
