# Unicode Characters in the Halfwidth and Fullwidth Forms Block
# Source: http://www.fileformat.info/info/unicode/block/halfwidth_and_fullwidth_forms/list.htm
"U+FFB7", "\xef\xbe\xb7", "HALFWIDTH HANGUL LETTER IEUNG (U+FFB7)"
"U+FFB8", "\xef\xbe\xb8", "HALFWIDTH HANGUL LETTER CIEUC (U+FFB8)"
"U+FFB9", "\xef\xbe\xb9", "HALFWIDTH HANGUL LETTER SSANGCIEUC (U+FFB9)"
"U+FFBA", "\xef\xbe\xba", "HALFWIDTH HANGUL LETTER CHIEUCH (U+FFBA)"
"U+FFBB", "\xef\xbe\xbb", "HALFWIDTH HANGUL LETTER KHIEUKH (U+FFBB)"
"U+FFBC", "\xef\xbe\xbc", "HALFWIDTH HANGUL LETTER THIEUTH (U+FFBC)"
"U+FFBD", "\xef\xbe\xbd", "HALFWIDTH HANGUL LETTER PHIEUPH (U+FFBD)"
"U+FFBE", "\xef\xbe\xbe", "HALFWIDTH HANGUL LETTER HIEUH (U+FFBE)"
"U+FFC2", "\xef\xbf\x82", "HALFWIDTH HANGUL LETTER A (U+FFC2)"
"U+FFC3", "\xef\xbf\x83", "HALFWIDTH HANGUL LETTER AE (U+FFC3)"
"U+FFC4", "\xef\xbf\x84", "HALFWIDTH HANGUL LETTER YA (U+FFC4)"
"U+FFC5", "\xef\xbf\x85", "HALFWIDTH HANGUL LETTER YAE (U+FFC5)"
"U+FFC6", "\xef\xbf\x86", "HALFWIDTH HANGUL LETTER EO (U+FFC6)"
"U+FFC7", "\xef\xbf\x87", "HALFWIDTH HANGUL LETTER E (U+FFC7)"
"U+FFCA", "\xef\xbf\x8a", "HALFWIDTH HANGUL LETTER YEO (U+FFCA)"
"U+FFCB", "\xef\xbf\x8b", "HALFWIDTH HANGUL LETTER YE (U+FFCB)"
"U+FFCC", "\xef\xbf\x8c", "HALFWIDTH HANGUL LETTER O (U+FFCC)"
"U+FFCD", "\xef\xbf\x8d", "HALFWIDTH HANGUL LETTER WA (U+FFCD)"
"U+FFCE", "\xef\xbf\x8e", "HALFWIDTH HANGUL LETTER WAE (U+FFCE)"
"U+FFCF", "\xef\xbf\x8f", "HALFWIDTH HANGUL LETTER OE (U+FFCF)"
"U+FFD2", "\xef\xbf\x92", "HALFWIDTH HANGUL LETTER YO (U+FFD2)"
"U+FFD3", "\xef\xbf\x93", "HALFWIDTH HANGUL LETTER U (U+FFD3)"
"U+FFD4", "\xef\xbf\x94", "HALFWIDTH HANGUL LETTER WEO (U+FFD4)"
"U+FFD5", "\xef\xbf\x95", "HALFWIDTH HANGUL LETTER WE (U+FFD5)"
"U+FFD6", "\xef\xbf\x96", "HALFWIDTH HANGUL LETTER WI (U+FFD6)"
"U+FFD7", "\xef\xbf\x97", "HALFWIDTH HANGUL LETTER YU (U+FFD7)"
"U+FFDA", "\xef\xbf\x9a", "HALFWIDTH HANGUL LETTER EU (U+FFDA)"
"U+FFDB", "\xef\xbf\x9b", "HALFWIDTH HANGUL LETTER YI (U+FFDB)"
"U+FFDC", "\xef\xbf\x9c", "HALFWIDTH HANGUL LETTER I (U+FFDC)"
"U+FFE0", "\xef\xbf\xa0", "FULLWIDTH CENT SIGN (U+FFE0)"
"U+FFE1", "\xef\xbf\xa1", "FULLWIDTH POUND SIGN (U+FFE1)"
"U+FFE2", "\xef\xbf\xa2", "FULLWIDTH NOT SIGN (U+FFE2)"
"U+FFE3", "\xef\xbf\xa3", "FULLWIDTH MACRON (U+FFE3)"
"U+FFE4", "\xef\xbf\xa4", "FULLWIDTH BROKEN BAR (U+FFE4)"
"U+FFE5", "\xef\xbf\xa5", "FULLWIDTH YEN SIGN (U+FFE5)"
"U+FFE6", "\xef\xbf\xa6", "FULLWIDTH WON SIGN (U+FFE6)"
"U+FFE8", "\xef\xbf\xa8", "HALFWIDTH FORMS LIGHT VERTICAL (U+FFE8)"
"U+FFE9", "\xef\xbf\xa9", "HALFWIDTH LEFTWARDS ARROW (U+FFE9)"
"U+FFEA", "\xef\xbf\xaa", "HALFWIDTH UPWARDS ARROW (U+FFEA)"
"U+FFEB", "\xef\xbf\xab", "HALFWIDTH RIGHTWARDS ARROW (U+FFEB)"
"U+FFEC", "\xef\xbf\xac", "HALFWIDTH DOWNWARDS ARROW (U+FFEC)"
"U+FFED", "\xef\xbf\xad", "HALFWIDTH BLACK SQUARE (U+FFED)"
"U+FFEE", "\xef\xbf\xae", "HALFWIDTH WHITE CIRCLE (U+FFEE)"
