# Cuneiform
U+120E2, \xf0\x92\x83\xa2, CUNEIFORM SIGN GA2 TIMES PA
U+120E3, \xf0\x92\x83\xa3, CUNEIFORM SIGN GA2 TIMES SAL
U+120E4, \xf0\x92\x83\xa4, CUNEIFORM SIGN GA2 TIMES SAR
U+120E5, \xf0\x92\x83\xa5, CUNEIFORM SIGN GA2 TIMES SHE
U+120E6, \xf0\x92\x83\xa6, CUNEIFORM SIGN GA2 TIMES SHE PLUS TUR
U+120E7, \xf0\x92\x83\xa7, CUNEIFORM SIGN GA2 TIMES SHID
U+120E8, \xf0\x92\x83\xa8, CUNEIFORM SIGN GA2 TIMES SUM
U+120E9, \xf0\x92\x83\xa9, CUNEIFORM SIGN GA2 TIMES TAK4
U+120EA, \xf0\x92\x83\xaa, CUNEIFORM SIGN GA2 TIMES U
U+120EB, \xf0\x92\x83\xab, CUNEIFORM SIGN GA2 TIMES UD
U+120EC, \xf0\x92\x83\xac, CUNEIFORM SIGN GA2 TIMES UD PLUS DU
U+120ED, \xf0\x92\x83\xad, CUNEIFORM SIGN GA2 OVER GA2
U+120EE, \xf0\x92\x83\xae, CUNEIFORM SIGN GABA
U+120EF, \xf0\x92\x83\xaf, CUNEIFORM SIGN GABA CROSSING GABA
U+120F0, \xf0\x92\x83\xb0, CUNEIFORM SIGN GAD
U+120F1, \xf0\x92\x83\xb1, CUNEIFORM SIGN GAD OVER GAD GAR OVER GAR
U+120F2, \xf0\x92\x83\xb2, CUNEIFORM SIGN GAL
U+120F3, \xf0\x92\x83\xb3, CUNEIFORM SIGN GAL GAD OVER GAD GAR OVER GAR
U+120F4, \xf0\x92\x83\xb4, CUNEIFORM SIGN GALAM
U+120F5, \xf0\x92\x83\xb5, CUNEIFORM SIGN GAM
U+120F6, \xf0\x92\x83\xb6, CUNEIFORM SIGN GAN
U+120F7, \xf0\x92\x83\xb7, CUNEIFORM SIGN GAN2
U+120F8, \xf0\x92\x83\xb8, CUNEIFORM SIGN GAN2 TENU
U+120F9, \xf0\x92\x83\xb9, CUNEIFORM SIGN GAN2 OVER GAN2
U+120FA, \xf0\x92\x83\xba, CUNEIFORM SIGN GAN2 CROSSING GAN2
U+120FB, \xf0\x92\x83\xbb, CUNEIFORM SIGN GAR
U+120FC, \xf0\x92\x83\xbc, CUNEIFORM SIGN GAR3
U+120FD, \xf0\x92\x83\xbd, CUNEIFORM SIGN GASHAN
U+120FE, \xf0\x92\x83\xbe, CUNEIFORM SIGN GESHTIN
U+120FF, \xf0\x92\x83\xbf, CUNEIFORM SIGN GESHTIN TIMES KUR
