# Variation Selectors Supplement
U+E01D8, \xf3\xa0\x87\x98, VARIATION SELECTOR-233
U+E01D9, \xf3\xa0\x87\x99, VARIATION SELECTOR-234
U+E01DA, \xf3\xa0\x87\x9a, VARIATION SELECTOR-235
U+E01DB, \xf3\xa0\x87\x9b, VARIATION SELECTOR-236
U+E01DC, \xf3\xa0\x87\x9c, VARIATION SELECTOR-237
U+E01DD, \xf3\xa0\x87\x9d, VARIATION SELECTOR-238
U+E01DE, \xf3\xa0\x87\x9e, VARIATION SELECTOR-239
U+E01DF, \xf3\xa0\x87\x9f, VARIATION SELECTOR-240
U+E01E0, \xf3\xa0\x87\xa0, VARIATION SELECTOR-241
U+E01E1, \xf3\xa0\x87\xa1, VARIATION SELECTOR-242
U+E01E2, \xf3\xa0\x87\xa2, VARIATION SELECTOR-243
U+E01E3, \xf3\xa0\x87\xa3, VARIATION SELECTOR-244
U+E01E4, \xf3\xa0\x87\xa4, VARIATION SELECTOR-245
U+E01E5, \xf3\xa0\x87\xa5, VARIATION SELECTOR-246
U+E01E6, \xf3\xa0\x87\xa6, VARIATION SELECTOR-247
U+E01E7, \xf3\xa0\x87\xa7, VARIATION SELECTOR-248
U+E01E8, \xf3\xa0\x87\xa8, VARIATION SELECTOR-249
U+E01E9, \xf3\xa0\x87\xa9, VARIATION SELECTOR-250
U+E01EA, \xf3\xa0\x87\xaa, VARIATION SELECTOR-251
U+E01EB, \xf3\xa0\x87\xab, VARIATION SELECTOR-252
U+E01EC, \xf3\xa0\x87\xac, VARIATION SELECTOR-253
U+E01ED, \xf3\xa0\x87\xad, VARIATION SELECTOR-254
U+E01EE, \xf3\xa0\x87\xae, VARIATION SELECTOR-255
U+E01EF, \xf3\xa0\x87\xaf, VARIATION SELECTOR-256
